reqId,requirementId,phase,order,pragyanIncomp,nlDescription,nlText,gold_scope,gold_condition,gold_actor,gold_modalVerb,gold_action,gold_conditionType,gold_overallIncomplete,gold_hadDisagreement,annotatorId,annotatorUsername,annotatorDisplayName,annotationStatus,rimayText,slot_scope,slot_condition,slot_actor,slot_modalVerb,slot_action,conditionType,patternNumber,nonAtomic,nSystemResponses,overallIncomplete,notes
5529-Signal,6a3ac954be1bfa9e45d33136,main,16,0,"I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Feature description. It's quite common to see non-passphrase users wonder why screenshots in Signal don't work. It probably doesn't make sense to have Screen security enabled by default for them. For passphrase users it makes sense. One option would be to remove the feature completely from settings and make it an implicit feature which depends on the passphrase setting. In #1431 (comment) moxie0 wrote: [The Screen security feature i]s not designed to prevent screenshots, it's designed to notify the task manager that it shouldn't cache screenshots of conversations. The side effect is that it prevents screenshots.","Request Number - 5529 | Request Title - Disable ""Screen security"" by default | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Feature description. It's quite common to see non-passphrase users wonder why screenshots in Signal don't work. It probably doesn't make sense to have Screen security enabled by default for them. For passphrase users it makes sense. One option would be to remove the feature completely from settings and make it an implicit feature which depends on the passphrase setting. In #1431 (comment) moxie0 wrote: [The Screen security feature i]s not designed to prevent screenshots, it's designed to notify the task manager that it shouldn't cache screenshots of conversations. The side effect is that it prevents screenshots.",implied,present,implied,implied,present,none,false,true,6a29b95073ef37cc79137842,Mko,Mko,submitted,"For all users, if the passphrase setting is enabled, then the App must enable screen security",implied,present,implied,implied,present,none,,false,,false,
5529-Signal,6a3ac954be1bfa9e45d33136,main,16,0,"I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Feature description. It's quite common to see non-passphrase users wonder why screenshots in Signal don't work. It probably doesn't make sense to have Screen security enabled by default for them. For passphrase users it makes sense. One option would be to remove the feature completely from settings and make it an implicit feature which depends on the passphrase setting. In #1431 (comment) moxie0 wrote: [The Screen security feature i]s not designed to prevent screenshots, it's designed to notify the task manager that it shouldn't cache screenshots of conversations. The side effect is that it prevents screenshots.","Request Number - 5529 | Request Title - Disable ""Screen security"" by default | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Feature description. It's quite common to see non-passphrase users wonder why screenshots in Signal don't work. It probably doesn't make sense to have Screen security enabled by default for them. For passphrase users it makes sense. One option would be to remove the feature completely from settings and make it an implicit feature which depends on the passphrase setting. In #1431 (comment) moxie0 wrote: [The Screen security feature i]s not designed to prevent screenshots, it's designed to notify the task manager that it shouldn't cache screenshots of conversations. The side effect is that it prevents screenshots.",implied,present,implied,implied,present,none,false,true,6a29b95073ef37cc79137841,Arthur,Arthur,submitted,"For all users, <MISSING_CONDITION> the App must make the ""Screen security"" feature depend on the ""passphrase setting"" set.",implied,missing,implied,implied,present,none,,false,,false,
107-Mastodon,6a3ac954be1bfa9e45d3313f,main,19,1,"I know a screen reader can still read them, but it's important to me to see if there IS a description so I know if I can boost these posts to my disabled followers","Request Number - 107 | Request Title - Can't view image descriptions | Request Description - I know a screen reader can still read them, but it's important to me to see if there IS a description so I know if I can boost these posts to my disabled followers",implied,missing,implied,implied,present,none,false,false,6a29b95073ef37cc79137842,Mko,Mko,submitted,"<MISSING_CONDITION>
For all users, the App must show whether a post has an image description",implied,missing,implied,implied,present,none,,false,,false,
107-Mastodon,6a3ac954be1bfa9e45d3313f,main,19,1,"I know a screen reader can still read them, but it's important to me to see if there IS a description so I know if I can boost these posts to my disabled followers","Request Number - 107 | Request Title - Can't view image descriptions | Request Description - I know a screen reader can still read them, but it's important to me to see if there IS a description so I know if I can boost these posts to my disabled followers",implied,missing,implied,implied,present,none,false,false,6a29b95073ef37cc79137841,Arthur,Arthur,submitted,"For all users, <MISSING_CONDITION> the App must visually indicate iff there is a ""description"".",implied,missing,implied,implied,present,none,,false,,false,
107-Mastodon,6a3ac954be1bfa9e45d3313f,main,19,1,"I know a screen reader can still read them, but it's important to me to see if there IS a description so I know if I can boost these posts to my disabled followers","Request Number - 107 | Request Title - Can't view image descriptions | Request Description - I know a screen reader can still read them, but it's important to me to see if there IS a description so I know if I can boost these posts to my disabled followers",implied,missing,implied,implied,present,none,false,false,6a29b95073ef37cc79137840,Rafo,Rafo,submitted,"For all users, <MISSING_CONDITION> the App must show if there is a description.",implied,missing,implied,implied,present,none,,false,,false,
83-Signal,6a3ac954be1bfa9e45d33142,main,20,1,Better identity key synchronization ,Request Number - 83 | Request Title - Better identity key synchronization | Request Description - No description provided.,implied,missing,missing,missing,missing,none,true,true,6a29b95073ef37cc79137840,Rafo,Rafo,submitted,<MISSING_SCOPE><MISSING_CONDITION><MISSING_ACTOR><MISSING_MODAL_VERB><MISSING_ACTION>,missing,missing,missing,missing,missing,none,,false,,true,
83-Signal,6a3ac954be1bfa9e45d33142,main,20,1,Better identity key synchronization ,Request Number - 83 | Request Title - Better identity key synchronization | Request Description - No description provided.,implied,missing,missing,missing,missing,none,true,true,6a29b95073ef37cc79137842,Mko,Mko,submitted,<MISSING_CONDITION><MISSING_ACTOR><MISSING_MODAL_VERB><MISSING_ACTION>,implied,missing,missing,missing,missing,none,,false,,true,
83-Signal,6a3ac954be1bfa9e45d33142,main,20,1,Better identity key synchronization ,Request Number - 83 | Request Title - Better identity key synchronization | Request Description - No description provided.,implied,missing,missing,missing,missing,none,true,true,6a29b95073ef37cc79137841,Arthur,Arthur,submitted,"For all users, <MISSING_CONDITION> the App must provide ""better identity key synchronization"".",implied,missing,implied,implied,present,none,,false,,false,
5555-Signal,6a3ac954be1bfa9e45d3314e,main,24,0,Copying partial text from a message would be nice. I.e. when receiving long validation tokens/one-time passwords to be entered in some web form. See #2845,Request Number - 5555 | Request Title - Partial message copying feature request | Request Description - Copying partial text from a message would be nice. I.e. when receiving long validation tokens/one-time passwords to be entered in some web form. See #2845,implied,missing,implied,implied,present,none,false,false,6a29b95073ef37cc79137840,Rafo,Rafo,submitted,"For all users, <MISSING_CONDITION> the App must provide an option to copy partial text from a message. ",implied,missing,implied,implied,present,none,,false,,false,
5555-Signal,6a3ac954be1bfa9e45d3314e,main,24,0,Copying partial text from a message would be nice. I.e. when receiving long validation tokens/one-time passwords to be entered in some web form. See #2845,Request Number - 5555 | Request Title - Partial message copying feature request | Request Description - Copying partial text from a message would be nice. I.e. when receiving long validation tokens/one-time passwords to be entered in some web form. See #2845,implied,missing,implied,implied,present,none,false,false,6a29b95073ef37cc79137842,Mko,Mko,submitted,"<MISSING_CONDITION>
For all users, the App must let the user copy partial text from a message.",implied,missing,implied,implied,present,none,,false,,false,
5555-Signal,6a3ac954be1bfa9e45d3314e,main,24,0,Copying partial text from a message would be nice. I.e. when receiving long validation tokens/one-time passwords to be entered in some web form. See #2845,Request Number - 5555 | Request Title - Partial message copying feature request | Request Description - Copying partial text from a message would be nice. I.e. when receiving long validation tokens/one-time passwords to be entered in some web form. See #2845,implied,missing,implied,implied,present,none,false,false,6a29b95073ef37cc79137841,Arthur,Arthur,submitted,"For all users, <MISSING_CONDITION> the App must allow the user to copy ""partial text"" from a ""message"".",implied,missing,implied,implied,present,none,,false,,false,
801-Signal,6a3ac954be1bfa9e45d33157,main,27,1,"Sometimes friends in a group are discussing something I'm not interested in and my phone would go nuts vibrating and ringing all the time. A ""Mute for X minutes/hours"" feature would be awesome.","Request Number - 801 | Request Title - Feature request: Mute Group (or any user) | Request Description - Sometimes friends in a group are discussing something I'm not interested in and my phone would go nuts vibrating and ringing all the time. A ""Mute for X minutes/hours"" feature would be awesome.",implied,missing,implied,implied,present,none,false,false,6a29b95073ef37cc79137840,Rafo,Rafo,submitted,"For all users, <MISSING_CONDITION> the app must provide a mute for x minutes/hours feature.",implied,missing,implied,implied,present,none,,false,,false,
801-Signal,6a3ac954be1bfa9e45d33157,main,27,1,"Sometimes friends in a group are discussing something I'm not interested in and my phone would go nuts vibrating and ringing all the time. A ""Mute for X minutes/hours"" feature would be awesome.","Request Number - 801 | Request Title - Feature request: Mute Group (or any user) | Request Description - Sometimes friends in a group are discussing something I'm not interested in and my phone would go nuts vibrating and ringing all the time. A ""Mute for X minutes/hours"" feature would be awesome.",implied,missing,implied,implied,present,none,false,false,6a29b95073ef37cc79137842,Mko,Mko,submitted,"<MISSING_CONDITION>
For all users, the App must let the user mute a conversation for a chosen duration",implied,missing,implied,implied,present,none,,false,,false,
801-Signal,6a3ac954be1bfa9e45d33157,main,27,1,"Sometimes friends in a group are discussing something I'm not interested in and my phone would go nuts vibrating and ringing all the time. A ""Mute for X minutes/hours"" feature would be awesome.","Request Number - 801 | Request Title - Feature request: Mute Group (or any user) | Request Description - Sometimes friends in a group are discussing something I'm not interested in and my phone would go nuts vibrating and ringing all the time. A ""Mute for X minutes/hours"" feature would be awesome.",implied,missing,implied,implied,present,none,false,false,6a29b95073ef37cc79137841,Arthur,Arthur,submitted,"For all users, <MISSING_CONDITION> the App must allow the user to mute a ""group"" for a ""specific duration"".",implied,missing,implied,implied,present,none,,false,,false,
6069-Signal,6a3ac954be1bfa9e45d3315a,main,28,0,"I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Bug description. I've installed Signal on a Honor 8 (made by Huawei) with EMUI 4.1 (Android 6.0). I've noticed that Signal receives notifications on new messages and they are also listed in the notification area, but the unread notifications badge on the app icon on the home screen is not shown. In Signal support articles there is mentioned, that badge icons are supported for some launchers, see https://support.whispersystems.org/hc/en-us/articles/215766077-How-can-I-see-my-unread-badge-count-What-launcher-should-I-use- So far I could not find out if this is a Signal or EMUI problem, but Threema and Conversations show the notification badges. Device info. Device: Honor 8 Android version: 6.0 Signal version: 3.26.2","Request Number - 6069 | Request Title - Unread notification badges do not work on Huawei EMUI | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Bug description. I've installed Signal on a Honor 8 (made by Huawei) with EMUI 4.1 (Android 6.0). I've noticed that Signal receives notifications on new messages and they are also listed in the notification area, but the unread notifications badge on the app icon on the home screen is not shown. In Signal support articles there is mentioned, that badge icons are supported for some launchers, see https://support.whispersystems.org/hc/en-us/articles/215766077-How-can-I-see-my-unread-badge-count-What-launcher-should-I-use- So far I could not find out if this is a Signal or EMUI problem, but Threema and Conversations show the notification badges. Device info. Device: Honor 8 Android version: 6.0 Signal version: 3.26.2",implied,present,implied,implied,present,none,false,true,6a29b95073ef37cc79137840,Rafo,Rafo,submitted,"For all users, when Signal receives new messages, then Signal must show an unread notification badge on the app icon.",implied,present,present,implied,present,none,,false,,false,"Action here is a bit doubtful, can also be implied "
6069-Signal,6a3ac954be1bfa9e45d3315a,main,28,0,"I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Bug description. I've installed Signal on a Honor 8 (made by Huawei) with EMUI 4.1 (Android 6.0). I've noticed that Signal receives notifications on new messages and they are also listed in the notification area, but the unread notifications badge on the app icon on the home screen is not shown. In Signal support articles there is mentioned, that badge icons are supported for some launchers, see https://support.whispersystems.org/hc/en-us/articles/215766077-How-can-I-see-my-unread-badge-count-What-launcher-should-I-use- So far I could not find out if this is a Signal or EMUI problem, but Threema and Conversations show the notification badges. Device info. Device: Honor 8 Android version: 6.0 Signal version: 3.26.2","Request Number - 6069 | Request Title - Unread notification badges do not work on Huawei EMUI | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Bug description. I've installed Signal on a Honor 8 (made by Huawei) with EMUI 4.1 (Android 6.0). I've noticed that Signal receives notifications on new messages and they are also listed in the notification area, but the unread notifications badge on the app icon on the home screen is not shown. In Signal support articles there is mentioned, that badge icons are supported for some launchers, see https://support.whispersystems.org/hc/en-us/articles/215766077-How-can-I-see-my-unread-badge-count-What-launcher-should-I-use- So far I could not find out if this is a Signal or EMUI problem, but Threema and Conversations show the notification badges. Device info. Device: Honor 8 Android version: 6.0 Signal version: 3.26.2",implied,present,implied,implied,present,none,false,true,6a29b95073ef37cc79137842,Mko,Mko,submitted,"For all users, when there are unread messages, the App must show an unread badge on the app icon",implied,present,implied,implied,implied,none,,false,,false,
6069-Signal,6a3ac954be1bfa9e45d3315a,main,28,0,"I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Bug description. I've installed Signal on a Honor 8 (made by Huawei) with EMUI 4.1 (Android 6.0). I've noticed that Signal receives notifications on new messages and they are also listed in the notification area, but the unread notifications badge on the app icon on the home screen is not shown. In Signal support articles there is mentioned, that badge icons are supported for some launchers, see https://support.whispersystems.org/hc/en-us/articles/215766077-How-can-I-see-my-unread-badge-count-What-launcher-should-I-use- So far I could not find out if this is a Signal or EMUI problem, but Threema and Conversations show the notification badges. Device info. Device: Honor 8 Android version: 6.0 Signal version: 3.26.2","Request Number - 6069 | Request Title - Unread notification badges do not work on Huawei EMUI | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Bug description. I've installed Signal on a Honor 8 (made by Huawei) with EMUI 4.1 (Android 6.0). I've noticed that Signal receives notifications on new messages and they are also listed in the notification area, but the unread notifications badge on the app icon on the home screen is not shown. In Signal support articles there is mentioned, that badge icons are supported for some launchers, see https://support.whispersystems.org/hc/en-us/articles/215766077-How-can-I-see-my-unread-badge-count-What-launcher-should-I-use- So far I could not find out if this is a Signal or EMUI problem, but Threema and Conversations show the notification badges. Device info. Device: Honor 8 Android version: 6.0 Signal version: 3.26.2",implied,present,implied,implied,present,none,false,true,6a29b95073ef37cc79137841,Arthur,Arthur,submitted,"For all users, when there are unread messages, the App must show the unread notifications badge on the app icon",implied,present,implied,implied,present,none,,false,,false,
2943-Signal,6a3ac954be1bfa9e45d3315d,main,29,0,Why did you remove the old text based smileys? I don't like all this emoji crap and preferred the other ones.,Request Number - 2943 | Request Title - Where are the old text-only smileys? | Request Description - Why did you remove the old text based smileys? I don't like all this emoji crap and preferred the other ones.,implied,missing,implied,implied,implied,none,false,true,6a29b95073ef37cc79137840,Rafo,Rafo,submitted,"For all users, <MISSING_CONDITION> the app must provide the old text based smileys.",implied,missing,implied,implied,implied,none,,false,,false,"Here I implied the action, but this can also be written as missing action "
2943-Signal,6a3ac954be1bfa9e45d3315d,main,29,0,Why did you remove the old text based smileys? I don't like all this emoji crap and preferred the other ones.,Request Number - 2943 | Request Title - Where are the old text-only smileys? | Request Description - Why did you remove the old text based smileys? I don't like all this emoji crap and preferred the other ones.,implied,missing,implied,implied,implied,none,false,true,6a29b95073ef37cc79137842,Mko,Mko,submitted,"<MISSING_CONDITION>
For all users, the App must bring back the old text-based smileys",implied,missing,implied,implied,implied,none,,false,,false,
2943-Signal,6a3ac954be1bfa9e45d3315d,main,29,0,Why did you remove the old text based smileys? I don't like all this emoji crap and preferred the other ones.,Request Number - 2943 | Request Title - Where are the old text-only smileys? | Request Description - Why did you remove the old text based smileys? I don't like all this emoji crap and preferred the other ones.,implied,missing,implied,implied,implied,none,false,true,6a29b95073ef37cc79137841,Arthur,Arthur,submitted,"For all users, <MISSING_CONDITION> the App must <MISSING_ACTION>.",implied,missing,implied,implied,missing,none,,false,,true,
6077-Signal,6a3ac955be1bfa9e45d33169,main,33,0,"I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Bug description. My friend made me aware of this as I'm never checking my account status via SMS, but it doesn't work for me neither. To check our account status, we have to send an SMS message to 13977, but Signal fails to deliver it. I tried sending it through the native Oneplus SMS app and it goes through just fine, with an immediate response. I can send an SMS to other people, though, so it has something to do with that number. (Signal adds +385 to it for Croatia, maybe that's it?) Steps to reproduce.  send an SMS to my provider through Signal Actual result: it doesn't go through, ""Failed to send"", ""Some issues need your attention."" Expected result: Message should go through and I should get a response. Device info. Device: OnePlus3T Android version: 7.0 Signal version: 3.27.1 Link to debug log. https://gist.github.com/anonymous/f656572561ea3a91d0f4bbdeb98e587b","Request Number - 6077 | Request Title - Update libphonenumber to >=8.2.0 (Cannot send SMS to my mobile provider) | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Bug description. My friend made me aware of this as I'm never checking my account status via SMS, but it doesn't work for me neither. To check our account status, we have to send an SMS message to 13977, but Signal fails to deliver it. I tried sending it through the native Oneplus SMS app and it goes through just fine, with an immediate response. I can send an SMS to other people, though, so it has something to do with that number. (Signal adds +385 to it for Croatia, maybe that's it?) Steps to reproduce.  send an SMS to my provider through Signal Actual result: it doesn't go through, ""Failed to send"", ""Some issues need your attention."" Expected result: Message should go through and I should get a response. Device info. Device: OnePlus3T Android version: 7.0 Signal version: 3.27.1 Link to debug log. https://gist.github.com/anonymous/f656572561ea3a91d0f4bbdeb98e587b",implied,present,present,implied,present,none,false,true,6a29b95073ef37cc79137841,Arthur,Arthur,submitted,"For all users, when sending SMS message to the 13977, to validate the account status, the App must deliver the response successfully.",implied,present,implied,implied,present,none,,false,,false,
6077-Signal,6a3ac955be1bfa9e45d33169,main,33,0,"I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Bug description. My friend made me aware of this as I'm never checking my account status via SMS, but it doesn't work for me neither. To check our account status, we have to send an SMS message to 13977, but Signal fails to deliver it. I tried sending it through the native Oneplus SMS app and it goes through just fine, with an immediate response. I can send an SMS to other people, though, so it has something to do with that number. (Signal adds +385 to it for Croatia, maybe that's it?) Steps to reproduce.  send an SMS to my provider through Signal Actual result: it doesn't go through, ""Failed to send"", ""Some issues need your attention."" Expected result: Message should go through and I should get a response. Device info. Device: OnePlus3T Android version: 7.0 Signal version: 3.27.1 Link to debug log. https://gist.github.com/anonymous/f656572561ea3a91d0f4bbdeb98e587b","Request Number - 6077 | Request Title - Update libphonenumber to >=8.2.0 (Cannot send SMS to my mobile provider) | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Bug description. My friend made me aware of this as I'm never checking my account status via SMS, but it doesn't work for me neither. To check our account status, we have to send an SMS message to 13977, but Signal fails to deliver it. I tried sending it through the native Oneplus SMS app and it goes through just fine, with an immediate response. I can send an SMS to other people, though, so it has something to do with that number. (Signal adds +385 to it for Croatia, maybe that's it?) Steps to reproduce.  send an SMS to my provider through Signal Actual result: it doesn't go through, ""Failed to send"", ""Some issues need your attention."" Expected result: Message should go through and I should get a response. Device info. Device: OnePlus3T Android version: 7.0 Signal version: 3.27.1 Link to debug log. https://gist.github.com/anonymous/f656572561ea3a91d0f4bbdeb98e587b",implied,present,present,implied,present,none,false,true,6a29b95073ef37cc79137842,Mko,Mko,submitted,"For all users, if the recipient is a short number, Signal must deliver the SMS.",implied,implied,present,present,present,none,,false,,false,
6077-Signal,6a3ac955be1bfa9e45d33169,main,33,0,"I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Bug description. My friend made me aware of this as I'm never checking my account status via SMS, but it doesn't work for me neither. To check our account status, we have to send an SMS message to 13977, but Signal fails to deliver it. I tried sending it through the native Oneplus SMS app and it goes through just fine, with an immediate response. I can send an SMS to other people, though, so it has something to do with that number. (Signal adds +385 to it for Croatia, maybe that's it?) Steps to reproduce.  send an SMS to my provider through Signal Actual result: it doesn't go through, ""Failed to send"", ""Some issues need your attention."" Expected result: Message should go through and I should get a response. Device info. Device: OnePlus3T Android version: 7.0 Signal version: 3.27.1 Link to debug log. https://gist.github.com/anonymous/f656572561ea3a91d0f4bbdeb98e587b","Request Number - 6077 | Request Title - Update libphonenumber to >=8.2.0 (Cannot send SMS to my mobile provider) | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Bug description. My friend made me aware of this as I'm never checking my account status via SMS, but it doesn't work for me neither. To check our account status, we have to send an SMS message to 13977, but Signal fails to deliver it. I tried sending it through the native Oneplus SMS app and it goes through just fine, with an immediate response. I can send an SMS to other people, though, so it has something to do with that number. (Signal adds +385 to it for Croatia, maybe that's it?) Steps to reproduce.  send an SMS to my provider through Signal Actual result: it doesn't go through, ""Failed to send"", ""Some issues need your attention."" Expected result: Message should go through and I should get a response. Device info. Device: OnePlus3T Android version: 7.0 Signal version: 3.27.1 Link to debug log. https://gist.github.com/anonymous/f656572561ea3a91d0f4bbdeb98e587b",implied,present,present,implied,present,none,false,true,6a29b95073ef37cc79137840,Rafo,Rafo,submitted,"For all users, when the user sends an SMS message to the provider number 13977 the Signal must deliver the account status.",implied,present,present,implied,present,none,,false,,false,
1363-Signal,6a3ac955be1bfa9e45d3316f,main,35,1,Indicating in the conservation overview whether the last message is yours or from your conversation partner ,Request Number - 1363 | Request Title - Indicating in the conservation overview whether the last message is yours or from your conversation partner | Request Description - Description given.,implied,missing,implied,implied,present,none,false,false,6a29b95073ef37cc79137840,Rafo,Rafo,submitted,"For all users, <MISSING_CONDITION> the app must indicate if the last message is from the user or the conversation partner. ",implied,missing,implied,implied,present,none,,false,,false,
