reqId,requirementId,phase,order,pragyanIncomp,nlDescription,nlText,gold_scope,gold_condition,gold_actor,gold_modalVerb,gold_action,gold_conditionType,gold_overallIncomplete,gold_hadDisagreement,canonicalRimay,annotatorId,annotatorUsername,annotatorDisplayName,annotationStatus,rimayText,slot_scope,slot_condition,slot_actor,slot_modalVerb,slot_action,conditionType,patternNumber,nonAtomic,nSystemResponses,overallIncomplete,notes
152-Mastodon,6a3ac954be1bfa9e45d3313c,pilot,18,0,"I'm using the Mastodon app with my profile on mstdn.social which supports Markdown toots. Unfortunately, the Mastodon app isn't able to display MD lists correctly. Instead of putting each list item into a new line, it shrinks the complete list into a single line:  For comparison: Tusky is perfectly capable of at least inserting line breaks:","Request Number - 152 | Request Title - Display MD lists correctly | Request Description - I'm using the Mastodon app with my profile on mstdn.social which supports Markdown toots. Unfortunately, the Mastodon app isn't able to display MD lists correctly. Instead of putting each list item into a new line, it shrinks the complete list into a single line:  For comparison: Tusky is perfectly capable of at least inserting line breaks:",implied,missing,present,implied,present,none,false,true,"For all users, <MISSING_CONDITION> Mastodon app must dispay ""MD"" lists correctly",6a29b95073ef37cc79137841,Arthur,Arthur,submitted,The App must display Markdown lists by rendering each list item on a separate line.<MISSING_CONDITION>,implied,missing,present,implied,present,none,,false,,false,
152-Mastodon,6a3ac954be1bfa9e45d3313c,pilot,18,0,"I'm using the Mastodon app with my profile on mstdn.social which supports Markdown toots. Unfortunately, the Mastodon app isn't able to display MD lists correctly. Instead of putting each list item into a new line, it shrinks the complete list into a single line:  For comparison: Tusky is perfectly capable of at least inserting line breaks:","Request Number - 152 | Request Title - Display MD lists correctly | Request Description - I'm using the Mastodon app with my profile on mstdn.social which supports Markdown toots. Unfortunately, the Mastodon app isn't able to display MD lists correctly. Instead of putting each list item into a new line, it shrinks the complete list into a single line:  For comparison: Tusky is perfectly capable of at least inserting line breaks:",implied,missing,present,implied,present,none,false,true,"For all users, <MISSING_CONDITION> Mastodon app must dispay ""MD"" lists correctly",6a1e11f9d2573aff6b6c4b96,admin,Admin User,submitted,"For all users, <MISSING_CONDITION> the app must be able to display ""MD"" lists correctly. ",implied,missing,implied,implied,present,none,,false,,false,
5874-Signal,6a3ac954be1bfa9e45d33151,pilot,25,0,"I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Feature Request. There was #5088 asking for multi-selecting images in ""All images"" and then saving them. It was closed without actually having multi-select & save implemented. I am asking for multi-select images in a conversation and then save them. Steps to reproduce.  go to a conversation long press a picture message tap a second/third/... picture message Actual result: No save button is shown. Expected result: A save button should be shown and allow to save the selected images.","Request Number - 5874 | Request Title - Allow saving multiple images in a conversation | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Feature Request. There was #5088 asking for multi-selecting images in ""All images"" and then saving them. It was closed without actually having multi-select & save implemented. I am asking for multi-select images in a conversation and then save them. Steps to reproduce.  go to a conversation long press a picture message tap a second/third/... picture message Actual result: No save button is shown. Expected result: A save button should be shown and allow to save the selected images.",implied,present,implied,implied,present,trigger,false,true,"For all users, when the user long presses a ""Picture message"", the app must allow multi selection and saving of ""picture messages""",6a29b95073ef37cc79137840,Rafo,Rafo,submitted,"When the user selects multiple pictures, the system must provide a save button to allow save selected images. ",implied,present,implied,present,present,trigger,,false,,false,The scope is again For all users
5874-Signal,6a3ac954be1bfa9e45d33151,pilot,25,0,"I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Feature Request. There was #5088 asking for multi-selecting images in ""All images"" and then saving them. It was closed without actually having multi-select & save implemented. I am asking for multi-select images in a conversation and then save them. Steps to reproduce.  go to a conversation long press a picture message tap a second/third/... picture message Actual result: No save button is shown. Expected result: A save button should be shown and allow to save the selected images.","Request Number - 5874 | Request Title - Allow saving multiple images in a conversation | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Feature Request. There was #5088 asking for multi-selecting images in ""All images"" and then saving them. It was closed without actually having multi-select & save implemented. I am asking for multi-select images in a conversation and then save them. Steps to reproduce.  go to a conversation long press a picture message tap a second/third/... picture message Actual result: No save button is shown. Expected result: A save button should be shown and allow to save the selected images.",implied,present,implied,implied,present,trigger,false,true,"For all users, when the user long presses a ""Picture message"", the app must allow multi selection and saving of ""picture messages""",6a29b95073ef37cc79137842,Mko,Mko,submitted,"When the user selects multiple ""picture messages"" in a conversation, then the App must show a ""save button"" that saves the selected ""images""",implied,implied,implied,present,present,trigger,,false,,false,I think this one is Condition
5874-Signal,6a3ac954be1bfa9e45d33151,pilot,25,0,"I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Feature Request. There was #5088 asking for multi-selecting images in ""All images"" and then saving them. It was closed without actually having multi-select & save implemented. I am asking for multi-select images in a conversation and then save them. Steps to reproduce.  go to a conversation long press a picture message tap a second/third/... picture message Actual result: No save button is shown. Expected result: A save button should be shown and allow to save the selected images.","Request Number - 5874 | Request Title - Allow saving multiple images in a conversation | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Feature Request. There was #5088 asking for multi-selecting images in ""All images"" and then saving them. It was closed without actually having multi-select & save implemented. I am asking for multi-select images in a conversation and then save them. Steps to reproduce.  go to a conversation long press a picture message tap a second/third/... picture message Actual result: No save button is shown. Expected result: A save button should be shown and allow to save the selected images.",implied,present,implied,implied,present,trigger,false,true,"For all users, when the user long presses a ""Picture message"", the app must allow multi selection and saving of ""picture messages""",6a29b95073ef37cc79137841,Arthur,Arthur,submitted,"When the user selects multiple image messages in conversation, the App must display a ""Save"" button that saves the selected images.",implied,present,implied,implied,present,none,,false,,false,
5874-Signal,6a3ac954be1bfa9e45d33151,pilot,25,0,"I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Feature Request. There was #5088 asking for multi-selecting images in ""All images"" and then saving them. It was closed without actually having multi-select & save implemented. I am asking for multi-select images in a conversation and then save them. Steps to reproduce.  go to a conversation long press a picture message tap a second/third/... picture message Actual result: No save button is shown. Expected result: A save button should be shown and allow to save the selected images.","Request Number - 5874 | Request Title - Allow saving multiple images in a conversation | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Feature Request. There was #5088 asking for multi-selecting images in ""All images"" and then saving them. It was closed without actually having multi-select & save implemented. I am asking for multi-select images in a conversation and then save them. Steps to reproduce.  go to a conversation long press a picture message tap a second/third/... picture message Actual result: No save button is shown. Expected result: A save button should be shown and allow to save the selected images.",implied,present,implied,implied,present,trigger,false,true,"For all users, when the user long presses a ""Picture message"", the app must allow multi selection and saving of ""picture messages""",6a1e11f9d2573aff6b6c4b96,admin,Admin User,submitted,"For all users, when the user long presses a picture message, the app must allow to multi select pictures and save them.",implied,present,implied,implied,present,none,,false,,false,
751-Signal,6a3ac955be1bfa9e45d3316c,pilot,34,0,"Under low light conditions the light design is too bright and puts a strain on the eyes. Thus, a nice thing to have would be an option to switch between light and dark theme automagically using the light sensor. Theme light theme ( ) dark theme ( ) depending on light condition (o)","Request Number - 751 | Request Title - Adapt theme to light conditions | Request Description - Under low light conditions the light design is too bright and puts a strain on the eyes. Thus, a nice thing to have would be an option to switch between light and dark theme automagically using the light sensor. Theme light theme ( ) dark theme ( ) depending on light condition (o)",implied,present,implied,implied,present,trigger,false,true,"For all users, if the light sensor senses change, then the App must switch to ""dark theme"" ",6a29b95073ef37cc79137840,Rafo,Rafo,submitted,<MISSING_CONDITION> For all users the app must provide an option to switch between light and dark themes. ,implied,missing,implied,implied,present,none,,false,,false,
751-Signal,6a3ac955be1bfa9e45d3316c,pilot,34,0,"Under low light conditions the light design is too bright and puts a strain on the eyes. Thus, a nice thing to have would be an option to switch between light and dark theme automagically using the light sensor. Theme light theme ( ) dark theme ( ) depending on light condition (o)","Request Number - 751 | Request Title - Adapt theme to light conditions | Request Description - Under low light conditions the light design is too bright and puts a strain on the eyes. Thus, a nice thing to have would be an option to switch between light and dark theme automagically using the light sensor. Theme light theme ( ) dark theme ( ) depending on light condition (o)",implied,present,implied,implied,present,trigger,false,true,"For all users, if the light sensor senses change, then the App must switch to ""dark theme"" ",6a29b95073ef37cc79137842,Mko,Mko,submitted,"For all the users if the ambient ""light conditions"" are low, then the App must switch to the ""dark theme"" using the ""light sensor""",implied,present,implied,implied,present,trigger,,false,,false,
751-Signal,6a3ac955be1bfa9e45d3316c,pilot,34,0,"Under low light conditions the light design is too bright and puts a strain on the eyes. Thus, a nice thing to have would be an option to switch between light and dark theme automagically using the light sensor. Theme light theme ( ) dark theme ( ) depending on light condition (o)","Request Number - 751 | Request Title - Adapt theme to light conditions | Request Description - Under low light conditions the light design is too bright and puts a strain on the eyes. Thus, a nice thing to have would be an option to switch between light and dark theme automagically using the light sensor. Theme light theme ( ) dark theme ( ) depending on light condition (o)",implied,present,implied,implied,present,trigger,false,true,"For all users, if the light sensor senses change, then the App must switch to ""dark theme"" ",6a29b95073ef37cc79137841,Arthur,Arthur,submitted,"The App must automatically switch between the ""light"" and ""dark"" themes, when the light condition change is being observed by the light sensor.",implied,present,implied,implied,present,none,,false,,false,
751-Signal,6a3ac955be1bfa9e45d3316c,pilot,34,0,"Under low light conditions the light design is too bright and puts a strain on the eyes. Thus, a nice thing to have would be an option to switch between light and dark theme automagically using the light sensor. Theme light theme ( ) dark theme ( ) depending on light condition (o)","Request Number - 751 | Request Title - Adapt theme to light conditions | Request Description - Under low light conditions the light design is too bright and puts a strain on the eyes. Thus, a nice thing to have would be an option to switch between light and dark theme automagically using the light sensor. Theme light theme ( ) dark theme ( ) depending on light condition (o)",implied,present,implied,implied,present,trigger,false,true,"For all users, if the light sensor senses change, then the App must switch to ""dark theme"" ",6a1e11f9d2573aff6b6c4b96,admin,Admin User,submitted,"For all users, when the light sensor senses change, the app must automatically switch between light and dark modes. ",implied,present,implied,implied,present,none,,false,,false,
3192-Signal,6a3ac955be1bfa9e45d33178,pilot,38,1,Remove the action bar in the view where you can inspect a received picture to enlarge the image.,Request Number - 3192 | Request Title - Image view in fullscreen | Request Description - Remove the action bar in the view where you can inspect a received picture to enlarge the image.,implied,missing,implied,implied,present,none,false,true,"For all users, <MISSING_CONDITION> the App must not display the action bar where users can inspect a received picture to enlarge the image.",6a29b95073ef37cc79137840,Rafo,Rafo,submitted,"<MISSING_CONDITION> For all users, the App must remove the action bar in the view where you can inspect a received picture to enlarge the image.",implied,missing,implied,implied,present,none,,false,,false,
3192-Signal,6a3ac955be1bfa9e45d33178,pilot,38,1,Remove the action bar in the view where you can inspect a received picture to enlarge the image.,Request Number - 3192 | Request Title - Image view in fullscreen | Request Description - Remove the action bar in the view where you can inspect a received picture to enlarge the image.,implied,missing,implied,implied,present,none,false,true,"For all users, <MISSING_CONDITION> the App must not display the action bar where users can inspect a received picture to enlarge the image.",6a29b95073ef37cc79137842,Mko,Mko,draft,"For all the users the App must remove the ""action bar"" in the ""image-inspection view"" where a received picture is enlarged",implied,missing,implied,implied,present,none,,false,,false,
3192-Signal,6a3ac955be1bfa9e45d33178,pilot,38,1,Remove the action bar in the view where you can inspect a received picture to enlarge the image.,Request Number - 3192 | Request Title - Image view in fullscreen | Request Description - Remove the action bar in the view where you can inspect a received picture to enlarge the image.,implied,missing,implied,implied,present,none,false,true,"For all users, <MISSING_CONDITION> the App must not display the action bar where users can inspect a received picture to enlarge the image.",6a29b95073ef37cc79137841,Arthur,Arthur,submitted,"When the user inspects a received picture, the App must remove the ""action bar"" to enlarge the image.",implied,present,implied,implied,present,none,,false,,false,
3192-Signal,6a3ac955be1bfa9e45d33178,pilot,38,1,Remove the action bar in the view where you can inspect a received picture to enlarge the image.,Request Number - 3192 | Request Title - Image view in fullscreen | Request Description - Remove the action bar in the view where you can inspect a received picture to enlarge the image.,implied,missing,implied,implied,present,none,false,true,"For all users, <MISSING_CONDITION> the App must not display the action bar where users can inspect a received picture to enlarge the image.",6a1e11f9d2573aff6b6c4b96,admin,Admin User,submitted,"For all users, <MISSING_CONDITION>, the app should not display the action in the view where user inspects a received picture to enlarge the image. ",implied,missing,implied,implied,present,none,,false,,false,
778-Signal,6a3ac955be1bfa9e45d331a8,pilot,54,1,"After being offline (flight mode / no internet connection) my device rings/vibrates multiple times, depending on how many messages have been sent by others in the meantime. Being in a quite active group my device vibrated for about 30 seconds this morning. I can see the point of being notified that not only one but multiple messages have been received but this should be reworked to a less annoying way (e.g., ring twice for multiple messages). Additionally, all messages that get then received are displayed with their receiving time. I would prefer having them displayed with the sending time, which can also be seen by looking in the message details. Maybe a menu entry to switch between both options would be a good idea because I can imagine people who like it the way it is handled now.","Request Number - 778 | Request Title - Feature Request: Only one notification for multiple messages received at once + Timestamps | Request Description - After being offline (flight mode / no internet connection) my device rings/vibrates multiple times, depending on how many messages have been sent by others in the meantime. Being in a quite active group my device vibrated for about 30 seconds this morning. I can see the point of being notified that not only one but multiple messages have been received but this should be reworked to a less annoying way (e.g., ring twice for multiple messages). Additionally, all messages that get then received are displayed with their receiving time. I would prefer having them displayed with the sending time, which can also be seen by looking in the message details. Maybe a menu entry to switch between both options would be a good idea because I can imagine people who like it the way it is handled now.",implied,present,implied,implied,present,trigger,false,true,"For all users, when the user receives multiple messages in a small timeframe, the App must only ring for a limited time",6a29b95073ef37cc79137842,Mko,Mko,submitted,"For all the users when multiple ""messages"" are received after the device has been offline, then the App must notify the user a limited number of times instead of once per message",implied,present,implied,present,present,trigger,,false,,false,Trigger can be the messages recieved after the flight mode
778-Signal,6a3ac955be1bfa9e45d331a8,pilot,54,1,"After being offline (flight mode / no internet connection) my device rings/vibrates multiple times, depending on how many messages have been sent by others in the meantime. Being in a quite active group my device vibrated for about 30 seconds this morning. I can see the point of being notified that not only one but multiple messages have been received but this should be reworked to a less annoying way (e.g., ring twice for multiple messages). Additionally, all messages that get then received are displayed with their receiving time. I would prefer having them displayed with the sending time, which can also be seen by looking in the message details. Maybe a menu entry to switch between both options would be a good idea because I can imagine people who like it the way it is handled now.","Request Number - 778 | Request Title - Feature Request: Only one notification for multiple messages received at once + Timestamps | Request Description - After being offline (flight mode / no internet connection) my device rings/vibrates multiple times, depending on how many messages have been sent by others in the meantime. Being in a quite active group my device vibrated for about 30 seconds this morning. I can see the point of being notified that not only one but multiple messages have been received but this should be reworked to a less annoying way (e.g., ring twice for multiple messages). Additionally, all messages that get then received are displayed with their receiving time. I would prefer having them displayed with the sending time, which can also be seen by looking in the message details. Maybe a menu entry to switch between both options would be a good idea because I can imagine people who like it the way it is handled now.",implied,present,implied,implied,present,trigger,false,true,"For all users, when the user receives multiple messages in a small timeframe, the App must only ring for a limited time",6a29b95073ef37cc79137841,Arthur,Arthur,submitted,"When the App reconnects after being offline, the App must notify the user of multiple received messages using fewer notification sounds or vibrations.
When the App receives messages that were sent while the device was offline, the App must display the messages using their sending time.",implied,present,implied,implied,present,trigger,,false,,false,
778-Signal,6a3ac955be1bfa9e45d331a8,pilot,54,1,"After being offline (flight mode / no internet connection) my device rings/vibrates multiple times, depending on how many messages have been sent by others in the meantime. Being in a quite active group my device vibrated for about 30 seconds this morning. I can see the point of being notified that not only one but multiple messages have been received but this should be reworked to a less annoying way (e.g., ring twice for multiple messages). Additionally, all messages that get then received are displayed with their receiving time. I would prefer having them displayed with the sending time, which can also be seen by looking in the message details. Maybe a menu entry to switch between both options would be a good idea because I can imagine people who like it the way it is handled now.","Request Number - 778 | Request Title - Feature Request: Only one notification for multiple messages received at once + Timestamps | Request Description - After being offline (flight mode / no internet connection) my device rings/vibrates multiple times, depending on how many messages have been sent by others in the meantime. Being in a quite active group my device vibrated for about 30 seconds this morning. I can see the point of being notified that not only one but multiple messages have been received but this should be reworked to a less annoying way (e.g., ring twice for multiple messages). Additionally, all messages that get then received are displayed with their receiving time. I would prefer having them displayed with the sending time, which can also be seen by looking in the message details. Maybe a menu entry to switch between both options would be a good idea because I can imagine people who like it the way it is handled now.",implied,present,implied,implied,present,trigger,false,true,"For all users, when the user receives multiple messages in a small timeframe, the App must only ring for a limited time",6a1e11f9d2573aff6b6c4b96,admin,Admin User,submitted,"For all users, when the user receives multiple messages in a small timeframe, the app must only ring for a limited time instead of ringing for every message.",implied,present,implied,implied,present,none,,false,,false,
778-Signal,6a3ac955be1bfa9e45d331a8,pilot,54,1,"After being offline (flight mode / no internet connection) my device rings/vibrates multiple times, depending on how many messages have been sent by others in the meantime. Being in a quite active group my device vibrated for about 30 seconds this morning. I can see the point of being notified that not only one but multiple messages have been received but this should be reworked to a less annoying way (e.g., ring twice for multiple messages). Additionally, all messages that get then received are displayed with their receiving time. I would prefer having them displayed with the sending time, which can also be seen by looking in the message details. Maybe a menu entry to switch between both options would be a good idea because I can imagine people who like it the way it is handled now.","Request Number - 778 | Request Title - Feature Request: Only one notification for multiple messages received at once + Timestamps | Request Description - After being offline (flight mode / no internet connection) my device rings/vibrates multiple times, depending on how many messages have been sent by others in the meantime. Being in a quite active group my device vibrated for about 30 seconds this morning. I can see the point of being notified that not only one but multiple messages have been received but this should be reworked to a less annoying way (e.g., ring twice for multiple messages). Additionally, all messages that get then received are displayed with their receiving time. I would prefer having them displayed with the sending time, which can also be seen by looking in the message details. Maybe a menu entry to switch between both options would be a good idea because I can imagine people who like it the way it is handled now.",implied,present,implied,implied,present,trigger,false,true,"For all users, when the user receives multiple messages in a small timeframe, the App must only ring for a limited time",6a29b95073ef37cc79137840,Rafo,Rafo,submitted,"After the device has been offline and multiple messages have been received, the App must notify the user in less annoying way. ",implied,present,implied,implied,present,temporal,,false,,false,
1699-Signal,6a3ac955be1bfa9e45d331b1,pilot,57,1,"Hangouts has the possibility to answer with predefined answers or voice. Something similar would be awesome for TextSecure. Since all this works over notifications, this should be reasonably easy to intergrate.","Request Number - 1699 | Request Title - Add Android Wear support | Request Description - Hangouts has the possibility to answer with predefined answers or voice. Something similar would be awesome for TextSecure. Since all this works over notifications, this should be reasonably easy to intergrate.",implied,missing,present,implied,present,none,false,true,"For all users, <MISSING_CONDITION> TextSecure must provide possibility to answer messages with predefined answers or voice messages.",6a29b95073ef37cc79137840,Rafo,Rafo,submitted,"<MISSING_CONDITION> For all users, TextSecure must answer with predefined answers or voice.",implied,missing,present,implied,present,none,,false,,false,
1699-Signal,6a3ac955be1bfa9e45d331b1,pilot,57,1,"Hangouts has the possibility to answer with predefined answers or voice. Something similar would be awesome for TextSecure. Since all this works over notifications, this should be reasonably easy to intergrate.","Request Number - 1699 | Request Title - Add Android Wear support | Request Description - Hangouts has the possibility to answer with predefined answers or voice. Something similar would be awesome for TextSecure. Since all this works over notifications, this should be reasonably easy to intergrate.",implied,missing,present,implied,present,none,false,true,"For all users, <MISSING_CONDITION> TextSecure must provide possibility to answer messages with predefined answers or voice messages.",6a29b95073ef37cc79137842,Mko,Mko,submitted,"For all the users when a ""message notification"" is shown, then the App must allow the user to reply with ""predefined answers""",missing,missing,implied,implied,present,none,,false,,false,
1699-Signal,6a3ac955be1bfa9e45d331b1,pilot,57,1,"Hangouts has the possibility to answer with predefined answers or voice. Something similar would be awesome for TextSecure. Since all this works over notifications, this should be reasonably easy to intergrate.","Request Number - 1699 | Request Title - Add Android Wear support | Request Description - Hangouts has the possibility to answer with predefined answers or voice. Something similar would be awesome for TextSecure. Since all this works over notifications, this should be reasonably easy to intergrate.",implied,missing,present,implied,present,none,false,true,"For all users, <MISSING_CONDITION> TextSecure must provide possibility to answer messages with predefined answers or voice messages.",6a29b95073ef37cc79137841,Arthur,Arthur,submitted,"When the user receives a notification, the App must allow the user to reply with predefined answer.
When the user receives a notification, the App must allow the user to reply with voice.",implied,present,implied,implied,present,trigger,,false,,false,
