reqId,requirementId,phase,order,pragyanIncomp,nlDescription,nlText,gold_scope,gold_condition,gold_actor,gold_modalVerb,gold_action,gold_conditionType,gold_overallIncomplete,gold_hadDisagreement,annotatorId,annotatorUsername,annotatorDisplayName,annotationStatus,rimayText,slot_scope,slot_condition,slot_actor,slot_modalVerb,slot_action,conditionType,patternNumber,nonAtomic,nSystemResponses,overallIncomplete,notes
42-Mastodon,6a3ac953be1bfa9e45d33121,main,9,1,"I like this , because it makes me feel I am not alone on then earth. Every time I view the post from different from the timeline, I can feel they are all alive, not only me. Every time, every second, I can meet new friend, maybe he is in Japan, having dinner, or In French. Now the feature of viewing from timeline is not in mastondon-android. I like the hot trending, then I can know what people are talking now. But I feel lonely when use your app. I find out that it is because I cannot always read a new post, cannot always know who may be will be my friend, what he is doing ,worring. So I need this feature.","Request Number - 42 | Request Title - Make view from timeline back | Request Description - I like this , because it makes me feel I am not alone on then earth. Every time I view the post from different from the timeline, I can feel they are all alive, not only me. Every time, every second, I can meet new friend, maybe he is in Japan, having dinner, or In French. Now the feature of viewing from timeline is not in mastondon-android. I like the hot trending, then I can know what people are talking now. But I feel lonely when use your app. I find out that it is because I cannot always read a new post, cannot always know who may be will be my friend, what he is doing ,worring. So I need this feature.",,,,,,,,,6a29b95073ef37cc79137840,Rafo,Rafo,submitted,<MISSING_SCOPE><MISSING_CONDITION><MISSING_ACTION>,missing,missing,missing,missing,missing,none,,false,,true,The requested feature is not stated clearly enough to identify a concrete system action.
42-Mastodon,6a3ac953be1bfa9e45d33121,main,9,1,"I like this , because it makes me feel I am not alone on then earth. Every time I view the post from different from the timeline, I can feel they are all alive, not only me. Every time, every second, I can meet new friend, maybe he is in Japan, having dinner, or In French. Now the feature of viewing from timeline is not in mastondon-android. I like the hot trending, then I can know what people are talking now. But I feel lonely when use your app. I find out that it is because I cannot always read a new post, cannot always know who may be will be my friend, what he is doing ,worring. So I need this feature.","Request Number - 42 | Request Title - Make view from timeline back | Request Description - I like this , because it makes me feel I am not alone on then earth. Every time I view the post from different from the timeline, I can feel they are all alive, not only me. Every time, every second, I can meet new friend, maybe he is in Japan, having dinner, or In French. Now the feature of viewing from timeline is not in mastondon-android. I like the hot trending, then I can know what people are talking now. But I feel lonely when use your app. I find out that it is because I cannot always read a new post, cannot always know who may be will be my friend, what he is doing ,worring. So I need this feature.",,,,,,,,,6a29b95073ef37cc79137842,Mko,Mko,submitted,"<MISSING_CONDITION>
For all users, the App must provide a view of posts from other people",implied,missing,implied,implied,present,none,,false,,false,
42-Mastodon,6a3ac953be1bfa9e45d33121,main,9,1,"I like this , because it makes me feel I am not alone on then earth. Every time I view the post from different from the timeline, I can feel they are all alive, not only me. Every time, every second, I can meet new friend, maybe he is in Japan, having dinner, or In French. Now the feature of viewing from timeline is not in mastondon-android. I like the hot trending, then I can know what people are talking now. But I feel lonely when use your app. I find out that it is because I cannot always read a new post, cannot always know who may be will be my friend, what he is doing ,worring. So I need this feature.","Request Number - 42 | Request Title - Make view from timeline back | Request Description - I like this , because it makes me feel I am not alone on then earth. Every time I view the post from different from the timeline, I can feel they are all alive, not only me. Every time, every second, I can meet new friend, maybe he is in Japan, having dinner, or In French. Now the feature of viewing from timeline is not in mastondon-android. I like the hot trending, then I can know what people are talking now. But I feel lonely when use your app. I find out that it is because I cannot always read a new post, cannot always know who may be will be my friend, what he is doing ,worring. So I need this feature.",,,,,,,,,6a29b95073ef37cc79137841,Arthur,Arthur,submitted,,missing,missing,missing,missing,missing,none,,true,,true,"It is non-atomic because it requests two entirely different discovery feeds -  a live public timeline and a ""hot trending"" topics section."
455-Signal,6a3ac954be1bfa9e45d33127,main,11,1,"Hi, in oder to advertise TextSecure to my friends I'd like to add a (short) signature. E.g.  I use TextSecure for private and secure communication!  do you find this worth implementing?","Request Number - 455 | Request Title - Signature below SMS message | Request Description - Hi, in oder to advertise TextSecure to my friends I'd like to add a (short) signature. E.g.  I use TextSecure for private and secure communication!  do you find this worth implementing?",implied,missing,implied,implied,present,none,false,true,6a29b95073ef37cc79137840,Rafo,Rafo,submitted,"For all users, <MISSING_CONDITION> TextSecure must provide an option to add a short signature to messages.",implied,missing,present,implied,present,none,,false,,false,
455-Signal,6a3ac954be1bfa9e45d33127,main,11,1,"Hi, in oder to advertise TextSecure to my friends I'd like to add a (short) signature. E.g.  I use TextSecure for private and secure communication!  do you find this worth implementing?","Request Number - 455 | Request Title - Signature below SMS message | Request Description - Hi, in oder to advertise TextSecure to my friends I'd like to add a (short) signature. E.g.  I use TextSecure for private and secure communication!  do you find this worth implementing?",implied,missing,implied,implied,present,none,false,true,6a29b95073ef37cc79137842,Mko,Mko,submitted,"<MISSING_CONDITION>
For all users, the App must let the user add a short signature to messages",implied,missing,implied,implied,present,none,,false,,false,
455-Signal,6a3ac954be1bfa9e45d33127,main,11,1,"Hi, in oder to advertise TextSecure to my friends I'd like to add a (short) signature. E.g.  I use TextSecure for private and secure communication!  do you find this worth implementing?","Request Number - 455 | Request Title - Signature below SMS message | Request Description - Hi, in oder to advertise TextSecure to my friends I'd like to add a (short) signature. E.g.  I use TextSecure for private and secure communication!  do you find this worth implementing?",implied,missing,implied,implied,present,none,false,true,6a29b95073ef37cc79137841,Arthur,Arthur,submitted,"For all users, <MISSING_CONDITION> the App must allow the user to add a ""signature"".",implied,missing,implied,implied,present,none,,false,,false,
1055-Signal,6a3ac954be1bfa9e45d3312a,main,12,0,"the message drafts should be automatically moved to the top of the message-list and be marked somehow, i.e. get another color or a text ""Draft""","Request Number - 1055 | Request Title - drafts should be marked and moved to top of list  | Request Description - the message drafts should be automatically moved to the top of the message-list and be marked somehow, i.e. get another color or a text ""Draft""",,,,,,,,,6a29b95073ef37cc79137840,Rafo,Rafo,submitted,,missing,missing,missing,missing,missing,none,,false,,true,Non atomic
1055-Signal,6a3ac954be1bfa9e45d3312a,main,12,0,"the message drafts should be automatically moved to the top of the message-list and be marked somehow, i.e. get another color or a text ""Draft""","Request Number - 1055 | Request Title - drafts should be marked and moved to top of list  | Request Description - the message drafts should be automatically moved to the top of the message-list and be marked somehow, i.e. get another color or a text ""Draft""",,,,,,,,,6a29b95073ef37cc79137842,Mko,Mko,submitted,<NON_ATOMIC>,missing,missing,missing,missing,missing,none,,true,,true,
1055-Signal,6a3ac954be1bfa9e45d3312a,main,12,0,"the message drafts should be automatically moved to the top of the message-list and be marked somehow, i.e. get another color or a text ""Draft""","Request Number - 1055 | Request Title - drafts should be marked and moved to top of list  | Request Description - the message drafts should be automatically moved to the top of the message-list and be marked somehow, i.e. get another color or a text ""Draft""",,,,,,,,,6a29b95073ef37cc79137841,Arthur,Arthur,submitted,,missing,missing,missing,missing,missing,none,,true,,true,User wants the message drafts to be moved to the top and besides that be marked visually.
5529-Signal,6a3ac954be1bfa9e45d33136,main,16,0,"I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Feature description. It's quite common to see non-passphrase users wonder why screenshots in Signal don't work. It probably doesn't make sense to have Screen security enabled by default for them. For passphrase users it makes sense. One option would be to remove the feature completely from settings and make it an implicit feature which depends on the passphrase setting. In #1431 (comment) moxie0 wrote: [The Screen security feature i]s not designed to prevent screenshots, it's designed to notify the task manager that it shouldn't cache screenshots of conversations. The side effect is that it prevents screenshots.","Request Number - 5529 | Request Title - Disable ""Screen security"" by default | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Feature description. It's quite common to see non-passphrase users wonder why screenshots in Signal don't work. It probably doesn't make sense to have Screen security enabled by default for them. For passphrase users it makes sense. One option would be to remove the feature completely from settings and make it an implicit feature which depends on the passphrase setting. In #1431 (comment) moxie0 wrote: [The Screen security feature i]s not designed to prevent screenshots, it's designed to notify the task manager that it shouldn't cache screenshots of conversations. The side effect is that it prevents screenshots.",implied,present,implied,implied,present,none,false,true,6a29b95073ef37cc79137840,Rafo,Rafo,submitted,"For all users, if the user does not use a passphrase then Signal must remove screen security by default.",implied,present,present,implied,present,none,,false,,false,
5529-Signal,6a3ac954be1bfa9e45d33136,main,16,0,"I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Feature description. It's quite common to see non-passphrase users wonder why screenshots in Signal don't work. It probably doesn't make sense to have Screen security enabled by default for them. For passphrase users it makes sense. One option would be to remove the feature completely from settings and make it an implicit feature which depends on the passphrase setting. In #1431 (comment) moxie0 wrote: [The Screen security feature i]s not designed to prevent screenshots, it's designed to notify the task manager that it shouldn't cache screenshots of conversations. The side effect is that it prevents screenshots.","Request Number - 5529 | Request Title - Disable ""Screen security"" by default | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Feature description. It's quite common to see non-passphrase users wonder why screenshots in Signal don't work. It probably doesn't make sense to have Screen security enabled by default for them. For passphrase users it makes sense. One option would be to remove the feature completely from settings and make it an implicit feature which depends on the passphrase setting. In #1431 (comment) moxie0 wrote: [The Screen security feature i]s not designed to prevent screenshots, it's designed to notify the task manager that it shouldn't cache screenshots of conversations. The side effect is that it prevents screenshots.",implied,present,implied,implied,present,none,false,true,6a29b95073ef37cc79137842,Mko,Mko,submitted,"For all users, if the passphrase setting is enabled, then the App must enable screen security",implied,present,implied,implied,present,none,,false,,false,
5529-Signal,6a3ac954be1bfa9e45d33136,main,16,0,"I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Feature description. It's quite common to see non-passphrase users wonder why screenshots in Signal don't work. It probably doesn't make sense to have Screen security enabled by default for them. For passphrase users it makes sense. One option would be to remove the feature completely from settings and make it an implicit feature which depends on the passphrase setting. In #1431 (comment) moxie0 wrote: [The Screen security feature i]s not designed to prevent screenshots, it's designed to notify the task manager that it shouldn't cache screenshots of conversations. The side effect is that it prevents screenshots.","Request Number - 5529 | Request Title - Disable ""Screen security"" by default | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Feature description. It's quite common to see non-passphrase users wonder why screenshots in Signal don't work. It probably doesn't make sense to have Screen security enabled by default for them. For passphrase users it makes sense. One option would be to remove the feature completely from settings and make it an implicit feature which depends on the passphrase setting. In #1431 (comment) moxie0 wrote: [The Screen security feature i]s not designed to prevent screenshots, it's designed to notify the task manager that it shouldn't cache screenshots of conversations. The side effect is that it prevents screenshots.",implied,present,implied,implied,present,none,false,true,6a29b95073ef37cc79137841,Arthur,Arthur,submitted,"For all users, <MISSING_CONDITION> the App must make the ""Screen security"" feature depend on the ""passphrase setting"" set.",implied,missing,implied,implied,present,none,,false,,false,
107-Mastodon,6a3ac954be1bfa9e45d3313f,main,19,1,"I know a screen reader can still read them, but it's important to me to see if there IS a description so I know if I can boost these posts to my disabled followers","Request Number - 107 | Request Title - Can't view image descriptions | Request Description - I know a screen reader can still read them, but it's important to me to see if there IS a description so I know if I can boost these posts to my disabled followers",implied,missing,implied,implied,present,none,false,false,6a29b95073ef37cc79137842,Mko,Mko,submitted,"<MISSING_CONDITION>
For all users, the App must show whether a post has an image description",implied,missing,implied,implied,present,none,,false,,false,
107-Mastodon,6a3ac954be1bfa9e45d3313f,main,19,1,"I know a screen reader can still read them, but it's important to me to see if there IS a description so I know if I can boost these posts to my disabled followers","Request Number - 107 | Request Title - Can't view image descriptions | Request Description - I know a screen reader can still read them, but it's important to me to see if there IS a description so I know if I can boost these posts to my disabled followers",implied,missing,implied,implied,present,none,false,false,6a29b95073ef37cc79137841,Arthur,Arthur,submitted,"For all users, <MISSING_CONDITION> the App must visually indicate iff there is a ""description"".",implied,missing,implied,implied,present,none,,false,,false,
107-Mastodon,6a3ac954be1bfa9e45d3313f,main,19,1,"I know a screen reader can still read them, but it's important to me to see if there IS a description so I know if I can boost these posts to my disabled followers","Request Number - 107 | Request Title - Can't view image descriptions | Request Description - I know a screen reader can still read them, but it's important to me to see if there IS a description so I know if I can boost these posts to my disabled followers",implied,missing,implied,implied,present,none,false,false,6a29b95073ef37cc79137840,Rafo,Rafo,submitted,"For all users, <MISSING_CONDITION> the App must show if there is a description.",implied,missing,implied,implied,present,none,,false,,false,
83-Signal,6a3ac954be1bfa9e45d33142,main,20,1,Better identity key synchronization ,Request Number - 83 | Request Title - Better identity key synchronization | Request Description - No description provided.,implied,missing,missing,missing,missing,none,true,true,6a29b95073ef37cc79137840,Rafo,Rafo,submitted,<MISSING_SCOPE><MISSING_CONDITION><MISSING_ACTOR><MISSING_MODAL_VERB><MISSING_ACTION>,missing,missing,missing,missing,missing,none,,false,,true,
83-Signal,6a3ac954be1bfa9e45d33142,main,20,1,Better identity key synchronization ,Request Number - 83 | Request Title - Better identity key synchronization | Request Description - No description provided.,implied,missing,missing,missing,missing,none,true,true,6a29b95073ef37cc79137842,Mko,Mko,submitted,<MISSING_CONDITION><MISSING_ACTOR><MISSING_MODAL_VERB><MISSING_ACTION>,implied,missing,missing,missing,missing,none,,false,,true,
83-Signal,6a3ac954be1bfa9e45d33142,main,20,1,Better identity key synchronization ,Request Number - 83 | Request Title - Better identity key synchronization | Request Description - No description provided.,implied,missing,missing,missing,missing,none,true,true,6a29b95073ef37cc79137841,Arthur,Arthur,submitted,"For all users, <MISSING_CONDITION> the App must provide ""better identity key synchronization"".",implied,missing,implied,implied,present,none,,false,,false,
1692-Signal,6a3ac954be1bfa9e45d33148,main,22,0,"when a sms delivery report is received, the time the other user received the message (afaik the done date ) should be saved and it should be possible to view it in message details. This way one could see when the other user received the message (not only that is was received). edit: if someone can give me a hint where to look/start in the code to implement this, I'd try to make a pull request (but I just glanced through the code and cannot find a starting point ... maybe it's simply too late already ;-))","Request Number - 1692 | Request Title - sms delivery report: show received time in message details | Request Description - when a sms delivery report is received, the time the other user received the message (afaik the done date ) should be saved and it should be possible to view it in message details. This way one could see when the other user received the message (not only that is was received). edit: if someone can give me a hint where to look/start in the code to implement this, I'd try to make a pull request (but I just glanced through the code and cannot find a starting point ... maybe it's simply too late already ;-))",,,,,,,,,6a29b95073ef37cc79137840,Rafo,Rafo,submitted,<NON_ATOMIC>,missing,missing,missing,missing,missing,none,,false,,true,"Non atomic, because it has two requests ""should be saved and it should be possible to view it in message details."""
1692-Signal,6a3ac954be1bfa9e45d33148,main,22,0,"when a sms delivery report is received, the time the other user received the message (afaik the done date ) should be saved and it should be possible to view it in message details. This way one could see when the other user received the message (not only that is was received). edit: if someone can give me a hint where to look/start in the code to implement this, I'd try to make a pull request (but I just glanced through the code and cannot find a starting point ... maybe it's simply too late already ;-))","Request Number - 1692 | Request Title - sms delivery report: show received time in message details | Request Description - when a sms delivery report is received, the time the other user received the message (afaik the done date ) should be saved and it should be possible to view it in message details. This way one could see when the other user received the message (not only that is was received). edit: if someone can give me a hint where to look/start in the code to implement this, I'd try to make a pull request (but I just glanced through the code and cannot find a starting point ... maybe it's simply too late already ;-))",,,,,,,,,6a29b95073ef37cc79137842,Mko,Mko,submitted,<NON_ATOMIC>,missing,missing,missing,missing,missing,none,,true,,true,
1692-Signal,6a3ac954be1bfa9e45d33148,main,22,0,"when a sms delivery report is received, the time the other user received the message (afaik the done date ) should be saved and it should be possible to view it in message details. This way one could see when the other user received the message (not only that is was received). edit: if someone can give me a hint where to look/start in the code to implement this, I'd try to make a pull request (but I just glanced through the code and cannot find a starting point ... maybe it's simply too late already ;-))","Request Number - 1692 | Request Title - sms delivery report: show received time in message details | Request Description - when a sms delivery report is received, the time the other user received the message (afaik the done date ) should be saved and it should be possible to view it in message details. This way one could see when the other user received the message (not only that is was received). edit: if someone can give me a hint where to look/start in the code to implement this, I'd try to make a pull request (but I just glanced through the code and cannot find a starting point ... maybe it's simply too late already ;-))",,,,,,,,,6a29b95073ef37cc79137841,Arthur,Arthur,submitted,"For all users, when a sms delivery report is received, the App must save the time the message was actually received and show it in the message details.",implied,present,implied,implied,present,none,,false,,false,
5555-Signal,6a3ac954be1bfa9e45d3314e,main,24,0,Copying partial text from a message would be nice. I.e. when receiving long validation tokens/one-time passwords to be entered in some web form. See #2845,Request Number - 5555 | Request Title - Partial message copying feature request | Request Description - Copying partial text from a message would be nice. I.e. when receiving long validation tokens/one-time passwords to be entered in some web form. See #2845,implied,missing,implied,implied,present,none,false,false,6a29b95073ef37cc79137840,Rafo,Rafo,submitted,"For all users, <MISSING_CONDITION> the App must provide an option to copy partial text from a message. ",implied,missing,implied,implied,present,none,,false,,false,
5555-Signal,6a3ac954be1bfa9e45d3314e,main,24,0,Copying partial text from a message would be nice. I.e. when receiving long validation tokens/one-time passwords to be entered in some web form. See #2845,Request Number - 5555 | Request Title - Partial message copying feature request | Request Description - Copying partial text from a message would be nice. I.e. when receiving long validation tokens/one-time passwords to be entered in some web form. See #2845,implied,missing,implied,implied,present,none,false,false,6a29b95073ef37cc79137842,Mko,Mko,submitted,"<MISSING_CONDITION>
For all users, the App must let the user copy partial text from a message.",implied,missing,implied,implied,present,none,,false,,false,
5555-Signal,6a3ac954be1bfa9e45d3314e,main,24,0,Copying partial text from a message would be nice. I.e. when receiving long validation tokens/one-time passwords to be entered in some web form. See #2845,Request Number - 5555 | Request Title - Partial message copying feature request | Request Description - Copying partial text from a message would be nice. I.e. when receiving long validation tokens/one-time passwords to be entered in some web form. See #2845,implied,missing,implied,implied,present,none,false,false,6a29b95073ef37cc79137841,Arthur,Arthur,submitted,"For all users, <MISSING_CONDITION> the App must allow the user to copy ""partial text"" from a ""message"".",implied,missing,implied,implied,present,none,,false,,false,
801-Signal,6a3ac954be1bfa9e45d33157,main,27,1,"Sometimes friends in a group are discussing something I'm not interested in and my phone would go nuts vibrating and ringing all the time. A ""Mute for X minutes/hours"" feature would be awesome.","Request Number - 801 | Request Title - Feature request: Mute Group (or any user) | Request Description - Sometimes friends in a group are discussing something I'm not interested in and my phone would go nuts vibrating and ringing all the time. A ""Mute for X minutes/hours"" feature would be awesome.",implied,missing,implied,implied,present,none,false,false,6a29b95073ef37cc79137840,Rafo,Rafo,submitted,"For all users, <MISSING_CONDITION> the app must provide a mute for x minutes/hours feature.",implied,missing,implied,implied,present,none,,false,,false,
